timestamp,comment_text,likes,has_replies,number_of_replies
1520284521845,anyone knows the background soundtrack please ?,0,FALSE,0
1520270121854,The post is good only for toilet paper,0,FALSE,0
1520266521864,Looks like a Fake News propaganda piece.  Thanks for the warning.,0,FALSE,0
1520255721868,Suspenseful......I must see this movie!,0,FALSE,0
1520255721877,Time wasted,0,FALSE,0
1520255721888,Waste of money,0,FALSE,0
1520255721897,Don’t watch,0,FALSE,0
1520255721903,Terrible,0,FALSE,0
1520169321912,Got a plan to watch it on cinema today because my mom is really like to see this movie so much... But to be honest I prefer horror drama movies lol,0,FALSE,0
1520082921920,someone seen this film?,0,FALSE,0
1520082921925,YAS MERYL LOOKS GREAT HERE YAS QUEEN SLAYYYYYYYYYYYYYYYYYYYYYYY,0,FALSE,0
1519910121934,Meryl Streep is good  but I would have chosen Glenn Close for the role.,0,FALSE,0
1519737321944,"Excellent period piece, awesome film",0,FALSE,0
1519737321953,Fake news,0,FALSE,0
1519737321958,"Assistam a sinopse  e ao trailer do filme The post:

https://youtu.be/5Goq3Yoq2fg",0,FALSE,0
1519737321967,"They knew they Better Call Saul, and they did!",0,FALSE,0
1519737321976,"Is perfect, and the Oscar goes to  THE POST",0,FALSE,0
1519737321983,Oh my God.This something new to be watched.I love it.,0,FALSE,0
1519737321990,You are my favourite actors!,0,FALSE,0
1519737322000,Tom Hanks + Meryl Streep + Spielberg = I am sold!,0,FALSE,0
1519737323161,"WOODKIDS SONG OMGG 
Memories... 
Since assasin creeds",0,FALSE,0
1519737323169,"Important for people to understand! There are no traitors. Propaganda is the most important tool of the powerful! This is how they SHAPE opinion and justify wars. Its a fact, and don't wait until a sleazy politician or some ""proud patriot"" tells you the opposite.",0,FALSE,0
1519737323183,"This was the best time I've had at the movies in years. Finally a movie without superheroes, crashing cars, college humor, the apocalypse,  or aliens. A movie about reality and adults in adult situations. Sometimes Hollywood does get it right.",1,FALSE,0
1519132523196,This movie was hilarious!,1,FALSE,0
1519132523200,A worthy companion piece to 'All the President's Men' and 'Spotlight'.,0,FALSE,0
1519132523209,Thank you from listtwist,0,FALSE,0
1519132523216,Best performance of Meryl's career so far. And I've seen them all!,1,FALSE,0
1519132523222,Love it how run boy run is their back round music.,0,FALSE,0
1519132523230,"Zajebisty film pokazujący siłę ludzi niezlomnych.Pierdolony TVN GW Newsweek tuszowaly nagrania z Restauracji ,,Sowa i Przyjaciele"" Wladza PO/PSL wykorzystała służby specjalne ABW aby wtargnęły   do Gazety ,,Wprost"" i odebrały tajne nagrania. Film zajebisty 9+/10",0,FALSE,0
1519132523235,"if only they hired Cameramen who wouldn't SHAKE AND MOVE THE CAMERA so much, it would have been more pleasurable to watch",0,FALSE,0
1519132523243,There is no way that this movie will end with the fact that the government was in fact lying all the time. :/,0,FALSE,0
1519132523251,The need to give out a box of tampons with every ticket to this liberal femfest.,0,FALSE,0
1519132523259,worst movie,1,FALSE,0
1519132523265,Owned by the same company that owns Fox News....,0,FALSE,0
1519132523274,journalists are not what they used to be... that is if what we have today can even be described as such...,0,FALSE,0
1519132523304,The Money of this Movie was used for War dislike please,0,FALSE,0
1519132523315,haha comments show how out of touch Hollywood is with general public. Pure leftists propaganda,0,FALSE,0
1519132523319,Freedom Of The Press =/= fake news.,0,FALSE,0
1519132523327,Central basketball test vbarzv according enormous vote knock performer electricity sexually honey.,0,FALSE,0
1519132523332,I watched the movie and it was great!,0,FALSE,0
1519132525145,"Why is YouTube compression so bad, that I can't see the film grain? 😢",0,FALSE,0
1518527725153,I do not think movies are in code.  It is illegal for movies to be in code.,0,FALSE,0
1518527725162,I think I lost a job typing business papers for Crain Los Angeles because Joseph F called and insulted me.  Why did I not get a job because of a retard?  People should not care for a retard.  He calls and I can not get a job.,0,FALSE,0
1518527725168,Brilliant !,0,FALSE,0
1518527725178,"PHANTOM THREAD ♡ 
THE SHAPE OF WATER ♡",0,FALSE,0
1518527725189,Such a good movie.. Must watch,0,FALSE,0
1518527725199,"Some clumsy and heavy handed feminist themes, but the effort was appreciated and enjoyable. 8/10",0,FALSE,0
1518527725204,"Ugh the smug self-righteous feminist aura is strong with this movie, I think ill avoid it.",0,FALSE,0
1518527725213,Wonderful movie!,0,FALSE,0
1518527725223,Creation for opportunist to get awards to make political speeches for their puppet masters,0,FALSE,0
1518527725227,"Interesting movie and I’m gonna be seeing this today, not a joke",0,FALSE,0
1518527725237,Prison is a good place for these so called actors,1,FALSE,0
1518527725247,"Los primeros 40 minutos son tediosos luego la película levanta .Es el trillado tema del Gobierno contra la prensa  .
La trama solo puede interesar a periodistas e integrantes del circulo rojo .Menores de 60 abstenerse .",0,FALSE,0
1518527725256,This movie was amaizng,0,TRUE,1
1518527725268,"A newspaper, run by a brave woman (that has to be highlited a few times ""a woman (...) she doesn't have the resolve to make tough choices"", ""that's brave"", ""I'm asking your for your advice, not your permission"" wanted to save the country from the government lies.... well, that's Hollywood. The main goal is SELLING MORE and gaining more INFLUENCE/POWER. It's depressive to realize that many people think that the media in general are being run by moral values and ethical principles. It's all about money and political influence!
PS: no, I'm not a Trump supporter at all. I hate that liar scum, just as much as the lying media.",1,FALSE,0
1518527725277,"People believe this and they still believe we can fly into space sideways LMBO 
https://www.youtube.com/watch?v=vD-2OJTpweQ",0,FALSE,0
1518527725285,Fake news,0,FALSE,0
1518527725293,Sustain terrorist versus ugly casual excuse drama researcher leave upper.,0,FALSE,0
